Ticker_x,SimFinId,Company.Name,IndustryId,Sector,Industry,Report.Date,Fiscal.Year,Current.Ratio,Quick.Ratio,NWC.to.Asset.Ratio,Cash.Ratio,Long.Term.Debt.Ratio,Liabilities.to.Equity.Ratio,Total.Debt.Ratio,Debt.to.Asset.Ratio,Interest.Coverage.Ratio,Cash.Coverage.Ratio,Return.On.Assets,Return.On.Capital,Return.On.Equity,Operating.Profit.Margin,Net.Profit.Margin,Asset.Turnover,Receivable.Turnover,Close,Book.to.Market.Ratio,Earning.Per.Share,Sales.Per.Share,Price.to.Earning.Ratio,Year.adj,Ticker_y,Return
A,45846,AGILENT TECHNOLOGIES INC,106001,Healthcare,Medical Diagnostics & Research,10/31/09,2009,3.5271589999999997,2.749777,0.716486,2.2199470000000003,0.535991,2.027844,0.669732,0.38163400000000003,0.79661,3.5423730000000004,0.27246453,0.38279808,0.8249801109999999,0.01048873,-0.0069180990000000005,0.639503354,5.819480519,31.07,0.23385567899999998,-0.08959537599999999,12.95086705,-346.78129029999997,2008,A,0.9916666670000001
A,45846,AGILENT TECHNOLOGIES INC,106001,Healthcare,Medical Diagnostics & Research,10/31/10,2010,2.000973,1.1410959999999999,0.500243,0.8592280000000001,0.40361199999999997,1.9962919999999997,0.666254,0.38067199999999995,7.447367999999999,10.105263,0.296823432,0.530409141,0.889369592,0.103967671,0.12564291,0.7151865479999999,9.149579832,41.43,0.22126813399999998,1.9376770540000001,15.42209632,21.38127193,2009,A,0.319847085
A,45846,AGILENT TECHNOLOGIES INC,106001,Healthcare,Medical Diagnostics & Research,10/31/11,2011,3.031573,2.3881330000000003,0.670138,1.919978,0.309219,1.098471,0.523463,0.24125,14.875,18.388889000000002,0.431047808,0.624839949,0.9045412420000001,0.16190476199999998,0.152985639,0.682240099,7.612197929,34.93,0.34806030600000004,2.850704225,18.63380282,12.25311265,2010,A,-0.15952839300000002
A,45846,AGILENT TECHNOLOGIES INC,106001,Healthcare,Medical Diagnostics & Research,10/31/12,2012,2.445325,1.72953,0.591056,1.2419440000000002,0.289434,1.032015,0.5078779999999999,0.22418400000000002,12.163043,15.434783,0.386484434,0.55803755,0.7853423340000001,0.163167104,0.168124818,0.757204372,7.974418605,40.94,0.358778341,3.266288952,19.42776204,12.53410234,2011,A,0.153459821
A,45846,AGILENT TECHNOLOGIES INC,106001,Healthcare,Medical Diagnostics & Research,10/31/13,2013,3.110487,2.230961,0.678507,1.669788,0.337882,1.02042,0.505053,0.252573,3.86,7.58,0.187254351,0.250500751,0.37833238799999996,0.099126862,0.18849512100000002,0.369589977,4.218851571,57.19,0.26806145800000003,2.1275362319999997,11.28695652,26.88085831,2012,A,0.36784443899999997
A,45846,AGILENT TECHNOLOGIES INC,106001,Healthcare,Medical Diagnostics & Research,10/31/14,2014,3.2559099999999996,1.6808509999999999,0.692866,1.310875,0.238697,1.0390270000000001,0.50957,0.15376800000000002,4.148515,7.950495,0.19482200600000002,0.30242572100000004,0.39724736,0.103507905,0.13562253,0.378813401,4.502780868,40.94,0.383300139,1.624260355,11.97633136,25.20531876,2013,A,-0.000245184
A,45846,AGILENT TECHNOLOGIES INC,106001,Healthcare,Medical Diagnostics & Research,10/31/15,2015,3.776639,2.673156,0.735214,2.052254,0.28412,0.793525,0.442439,0.221286,8.847458,13.135593,0.302981682,0.389012876,0.543405276,0.129271917,0.09930658699999999,0.373370319,6.450479232999999,41.81,0.297722105,1.197014925,12.05373134,34.92855362,2014,A,0.02780476
A,45846,AGILENT TECHNOLOGIES INC,106001,Healthcare,Medical Diagnostics & Research,10/31/16,2016,3.846561,3.089947,0.740028,2.422222,0.309593,0.8356100000000001,0.455222,0.24429,10.081967,14.114754000000001,0.304593277,0.38601626,0.5591144610000001,0.146358877,0.109947644,0.5618398179999999,6.933993398999999,45.56,0.28326986600000004,1.404255319,12.77203647,32.44424242,2015,A,0.121212859
A,45846,AGILENT TECHNOLOGIES INC,106001,Healthcare,Medical Diagnostics & Research,10/31/17,2017,3.300871,2.693587,0.69705,2.120348,0.27139800000000003,0.7427090000000001,0.42618100000000003,0.238666,14.754385999999998,18.473684,0.319487301,0.405666064,0.556773526,0.18805903399999999,0.152951699,0.5737746979999999,7.087163232999999,66.97,0.221461675,2.0981595090000003,13.71779141,31.91845029,2016,A,0.46995427799999995
A,45846,AGILENT TECHNOLOGIES INC,106001,Healthcare,Medical Diagnostics & Research,10/31/18,2018,3.28608,2.581554,0.6956859999999999,1.918873,0.282418,0.868519,0.464817,0.21063099999999998,25.081081,30.756757,0.3448074,0.46232339100000003,0.644279151,0.18884818899999997,0.06430606400000001,0.583194873,6.787292817999999,67.46,0.208488221,0.972307692,15.12,69.38132911,2017,A,0.009655888
AA,367153,Alcoa Corp,110004,Basic Materials,Metals & Mining,12/31/16,2016,1.127614,0.539171,0.11317200000000001,0.302375,0.156123,1.175003,0.540231,0.086315,1.27572,4.230453,0.447404576,0.8211818879999999,0.973106405,0.033268942,-0.042927667,0.5677207089999999,24.52105263,28.08,1.49786714,-2.18579235,50.91803279,-12.8466,2015,AA,0.274660633
AA,367153,Alcoa Corp,110004,Basic Materials,Metals & Mining,12/31/17,2017,1.3031979999999999,0.666974,0.232657,0.41758900000000004,0.169558,1.56649,0.610363,0.080472,14.557692000000001,21.788462,0.5636499110000001,1.201319326,1.4466019419999998,0.129934775,0.018623412,0.69601577,17.44311377,53.87,0.674827198,1.160427807,62.31016043,46.42253456,2016,AA,0.883566434
AA,367153,Alcoa Corp,110004,Basic Materials,Metals & Mining,12/31/18,2018,1.4162379999999999,0.665639,0.293904,0.381295,0.195867,1.155532,0.536077,0.11306300000000001,18.934426000000002,24.942623,0.731459405,1.267862969,1.5766837980000001,0.17234947399999997,0.016936507,0.7682123000000001,16.52651048,26.58,1.471846995,1.201058201,70.91534392,22.13048458,2017,AA,-0.508324084
AAL,68568,American Airlines Group Inc.,100006,Industrials,Airlines,12/31/14,2014,0.876604,0.676962,-0.140766,0.544837,0.88812,20.387926999999998,0.9532450000000001,0.409948,4.963785,6.731308,0.7722382879999999,1.847874225,16.51657595,0.09962485300000001,0.06757327099999999,1.008798903,27.33974359,53.63,0.05133966,3.92634493,58.10500044,13.65901391,2013,AAL,1.147187874
AAL,68568,American Airlines Group Inc.,100006,Industrials,Airlines,12/31/15,2015,0.733921,0.564425,-0.36254400000000003,0.45968400000000004,0.764865,7.591837,0.88361,0.42468199999999995,7.376932000000001,9.290131,0.64438707,1.3018151470000001,5.5364685,0.151353989,0.185655038,0.948293811,23.14511575,42.35,0.19357952,11.07142597,59.63439562,3.825162188,2014,AAL,-0.212417097
AAL,68568,American Airlines Group Inc.,100006,Industrials,Airlines,12/31/16,2016,0.744233,0.573313,-0.343665,0.458405,0.855941,12.546631,0.9261809999999999,0.474783,5.6939660000000005,7.653017,0.590552717,1.152470123,8.0,0.131508213,0.066600299,0.829908086,28.19649123,46.69,0.145777298,4.812092811,72.2533218,9.702639129,2015,AAL,0.14046984699999998
AAN,441241,AARON'S INC,100007,Industrials,Consulting & Outsourcing,12/31/10,2010,2.1967830000000004,0.321533,0.5447890000000001,0.163444,0.040922,0.5336390000000001,0.347956,0.027822000000000003,74.74797099999999,287.168535,0.334123131,0.49145472,0.512424228,0.103058724,0.06308884599999999,1.4199019869999998,28.388501399999996,20.39,0.585054973,1.4418162769999998,22.85374291,14.14188501,2009,AAN,0.365430466
AAN,441241,AARON'S INC,100007,Industrials,Consulting & Outsourcing,12/31/11,2011,2.0393529999999997,0.473492,0.509648,0.316448,0.136055,0.7734800000000001,0.436137,0.088798,75.955533,276.781678,0.316910513,0.48556677,0.56203446,0.112881588,0.056527995,1.339867863,28.89061468,26.68,0.46134276700000004,1.433935391,25.36681834,18.60613816,2010,AAN,0.304097561
AAN,441241,AARON'S INC,100007,Industrials,Consulting & Outsourcing,12/31/12,2012,2.409514,0.41633100000000006,0.584979,0.264759,0.11077200000000001,0.595711,0.37332,0.078066,88.363031,319.276745,0.333223198,0.47282754200000005,0.531727995,0.113846677,0.078199968,1.277688249,25.29783585,28.28,0.5229243579999999,2.252401531,28.80310051,12.55548783,2011,AAN,0.040837312
AAN,441241,AARON'S INC,100007,Industrials,Consulting & Outsourcing,12/31/13,2013,2.386576,0.600429,0.58099,0.46286000000000005,0.111256,0.602838,0.376107,0.078101,84.273423,346.263862,0.287469844,0.40950457100000004,0.460767586,0.09861807199999999,0.053998177,1.232608116,30.13378373,29.4,0.507582821,1.57960466,29.25292578,18.612251999999998,2012,AAN,0.026183843999999998
